id_x,agent,state,created_at,closed_at,merged_at,repo_id,turnaround_hours,review_count,type,commit_count,max_change,total_change,avg_change,total_additions,total_deletions,stars,forks,language
3264428170,Claude_Code,closed,2025-07-25 21:26:37+00:00,2025-07-25 21:29:18+00:00,,995029641.0,0.04,0,,0.0,0.0,0.0,0.0,0.0,0.0,4630.0,617.0,TypeScript
3264933329,Claude_Code,closed,2025-07-26 02:59:01+00:00,2025-07-29 07:01:20+00:00,,191751505.0,76.04,0,fix,1.0,343.0,396.0,132.0,394.0,2.0,1230.0,368.0,Python
3234102722,Claude_Code,closed,2025-07-16 01:00:34+00:00,2025-07-17 12:49:29+00:00,,995029641.0,35.82,0,chore,5.0,888.0,15711.0,89.77714285714286,13214.0,2497.0,4630.0,617.0,TypeScript
3212961701,Claude_Code,closed,2025-07-08 15:26:38+00:00,2025-07-08 15:27:58+00:00,,1009254201.0,0.02,0,fix,2.0,14692.0,22020.0,179.02439024390245,20716.0,1304.0,205.0,77.0,Rust
3164503419,Claude_Code,closed,2025-06-20 22:47:18+00:00,2025-06-21 11:51:22+00:00,,1002552148.0,13.07,2,fix,2.0,749.0,1585.0,132.08333333333334,1445.0,140.0,1691.0,106.0,TypeScript
3165440543,Claude_Code,closed,2025-06-21 21:22:44+00:00,2025-06-21 22:53:43+00:00,,715683924.0,1.52,0,fix,7.0,153.0,417.0,26.0625,301.0,116.0,261.0,30.0,TypeScript
3272275087,Claude_Code,closed,2025-07-29 06:22:16+00:00,2025-07-29 08:19:53+00:00,,1019432584.0,1.96,0,feat,1.0,406.0,643.0,107.16666666666667,486.0,157.0,1000.0,172.0,JavaScript
3273580906,Claude_Code,closed,2025-07-29 13:05:00+00:00,2025-07-29 13:34:19+00:00,,533917104.0,0.49,0,fix,1.0,40.0,48.0,24.0,30.0,18.0,1009.0,371.0,Shell
3217709166,Claude_Code,closed,2025-07-10 03:00:19+00:00,2025-07-10 03:10:43+00:00,,982554785.0,0.17,0,,0.0,0.0,0.0,0.0,0.0,0.0,2329.0,183.0,JavaScript
3217727499,Claude_Code,closed,2025-07-10 03:13:01+00:00,2025-07-10 03:13:14+00:00,,982554785.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,2329.0,183.0,JavaScript
3219102497,Claude_Code,closed,2025-07-10 12:10:30+00:00,2025-07-15 20:57:25+00:00,,92974124.0,128.78,1,test,30.0,190.0,3889.0,14.03971119133574,1789.0,2100.0,3211.0,578.0,Python
2876006908,Claude_Code,closed,2025-02-24 19:52:57+00:00,2025-04-20 19:47:42+00:00,,314197645.0,1319.91,1,feat,7.0,198.0,1054.0,70.26666666666667,825.0,229.0,4768.0,529.0,Python
2876533575,Claude_Code,closed,2025-02-25 00:48:56+00:00,2025-02-28 19:48:43+00:00,,212465715.0,91.0,0,fix,1.0,63.0,63.0,63.0,62.0,1.0,10115.0,316.0,Go
2878832797,Claude_Code,closed,2025-02-25 15:49:34+00:00,2025-02-25 16:04:47+00:00,,526514610.0,0.25,0,,0.0,0.0,0.0,0.0,0.0,0.0,1171.0,149.0,TypeScript
